index,datum,kraj_nuts_kod,okres_lau_kod,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,x,y
0,2020-03-01,CZ010,CZ0100,2,0,0,50.0755,14.4378
1,2020-03-01,CZ020,CZ020A,0,0,0,49.8782,14.9363
2,2020-03-01,CZ020,CZ020B,0,0,0,49.8782,14.9363
3,2020-03-01,CZ020,CZ020C,0,0,0,49.8782,14.9363
4,2020-03-01,CZ020,CZ0201,0,0,0,49.8782,14.9363
5,2020-03-01,CZ020,CZ0202,0,0,0,49.8782,14.9363
6,2020-03-01,CZ020,CZ0203,0,0,0,49.8782,14.9363
7,2020-03-01,CZ020,CZ0204,0,0,0,49.8782,14.9363
8,2020-03-01,CZ020,CZ0205,0,0,0,49.8782,14.9363
9,2020-03-01,CZ020,CZ0206,0,0,0,49.8782,14.9363
10,2020-03-01,CZ020,CZ0207,0,0,0,49.8782,14.9363
11,2020-03-01,CZ020,CZ0208,0,0,0,49.8782,14.9363
12,2020-03-01,CZ020,CZ0209,0,0,0,49.8782,14.9363
13,2020-03-01,CZ031,CZ0311,0,0,0,48.9458,14.4416
14,2020-03-01,CZ031,CZ0312,0,0,0,48.9458,14.4416
15,2020-03-01,CZ031,CZ0313,0,0,0,48.9458,14.4416
16,2020-03-01,CZ031,CZ0314,0,0,0,48.9458,14.4416
17,2020-03-01,CZ031,CZ0315,0,0,0,48.9458,14.4416
18,2020-03-01,CZ031,CZ0316,0,0,0,48.9458,14.4416
19,2020-03-01,CZ031,CZ0317,0,0,0,48.9458,14.4416
20,2020-03-01,CZ032,CZ0321,0,0,0,49.4135,13.3157
21,2020-03-01,CZ032,CZ0322,0,0,0,49.4135,13.3157
22,2020-03-01,CZ032,CZ0323,0,0,0,49.4135,13.3157
23,2020-03-01,CZ032,CZ0324,0,0,0,49.4135,13.3157
24,2020-03-01,CZ032,CZ0325,0,0,0,49.4135,13.3157
25,2020-03-01,CZ032,CZ0326,0,0,0,49.4135,13.3157
26,2020-03-01,CZ032,CZ0327,0,0,0,49.4135,13.3157
27,2020-03-01,CZ041,CZ0411,0,0,0,50.1435,12.7502
28,2020-03-01,CZ041,CZ0412,0,0,0,50.1435,12.7502
29,2020-03-01,CZ041,CZ0413,0,0,0,50.1435,12.7502
30,2020-03-01,CZ042,CZ0421,1,0,0,50.6119,13.787
31,2020-03-01,CZ042,CZ0422,0,0,0,50.6119,13.787
32,2020-03-01,CZ042,CZ0423,0,0,0,50.6119,13.787
33,2020-03-01,CZ042,CZ0424,0,0,0,50.6119,13.787
34,2020-03-01,CZ042,CZ0425,0,0,0,50.6119,13.787
35,2020-03-01,CZ042,CZ0426,0,0,0,50.6119,13.787
36,2020-03-01,CZ042,CZ0427,0,0,0,50.6119,13.787
37,2020-03-01,CZ051,CZ0511,0,0,0,50.6594,14.7632
38,2020-03-01,CZ051,CZ0512,0,0,0,50.6594,14.7632
39,2020-03-01,CZ051,CZ0513,0,0,0,50.6594,14.7632
40,2020-03-01,CZ051,CZ0514,0,0,0,50.6594,14.7632
41,2020-03-01,CZ052,CZ0521,0,0,0,50.3512,15.7976
42,2020-03-01,CZ052,CZ0522,0,0,0,50.3512,15.7976
43,2020-03-01,CZ052,CZ0523,0,0,0,50.3512,15.7976
44,2020-03-01,CZ052,CZ0524,0,0,0,50.3512,15.7976
45,2020-03-01,CZ052,CZ0525,0,0,0,50.3512,15.7976
46,2020-03-01,CZ053,CZ0531,0,0,0,49.9444,16.2857
47,2020-03-01,CZ053,CZ0532,0,0,0,49.9444,16.2857
48,2020-03-01,CZ053,CZ0533,0,0,0,49.9444,16.2857
49,2020-03-01,CZ053,CZ0534,0,0,0,49.9444,16.2857
50,2020-03-01,CZ063,CZ0631,0,0,0,49.449,15.6406
51,2020-03-01,CZ063,CZ0632,0,0,0,49.449,15.6406
52,2020-03-01,CZ063,CZ0633,0,0,0,49.449,15.6406
53,2020-03-01,CZ063,CZ0634,0,0,0,49.449,15.6406
54,2020-03-01,CZ063,CZ0635,0,0,0,49.449,15.6406
55,2020-03-01,CZ064,CZ0641,0,0,0,48.9545,16.7677
56,2020-03-01,CZ064,CZ0642,0,0,0,48.9545,16.7677
57,2020-03-01,CZ064,CZ0643,0,0,0,48.9545,16.7677
58,2020-03-01,CZ064,CZ0644,0,0,0,48.9545,16.7677
59,2020-03-01,CZ064,CZ0645,0,0,0,48.9545,16.7677
60,2020-03-01,CZ064,CZ0646,0,0,0,48.9545,16.7677
61,2020-03-01,CZ064,CZ0647,0,0,0,48.9545,16.7677
62,2020-03-01,CZ071,CZ0711,0,0,0,49.6587,17.0811
63,2020-03-01,CZ071,CZ0712,0,0,0,49.6587,17.0811
64,2020-03-01,CZ071,CZ0713,0,0,0,49.6587,17.0811
65,2020-03-01,CZ071,CZ0714,0,0,0,49.6587,17.0811
66,2020-03-01,CZ071,CZ0715,0,0,0,49.6587,17.0811
67,2020-03-01,CZ072,CZ0721,0,0,0,49.2162,17.772
68,2020-03-01,CZ072,CZ0722,0,0,0,49.2162,17.772
69,2020-03-01,CZ072,CZ0723,0,0,0,49.2162,17.772
70,2020-03-01,CZ072,CZ0724,0,0,0,49.2162,17.772
71,2020-03-01,CZ080,CZ0801,0,0,0,49.7305,18.2333
72,2020-03-01,CZ080,CZ0802,0,0,0,49.7305,18.2333
73,2020-03-01,CZ080,CZ0803,0,0,0,49.7305,18.2333
74,2020-03-01,CZ080,CZ0804,0,0,0,49.7305,18.2333
75,2020-03-01,CZ080,CZ0805,0,0,0,49.7305,18.2333
76,2020-03-01,CZ080,CZ0806,0,0,0,49.7305,18.2333
77,2020-03-02,CZ010,CZ0100,2,0,0,50.0755,14.4378
78,2020-03-02,CZ020,CZ020A,0,0,0,49.8782,14.9363
79,2020-03-02,CZ020,CZ020B,0,0,0,49.8782,14.9363
80,2020-03-02,CZ020,CZ020C,0,0,0,49.8782,14.9363
81,2020-03-02,CZ020,CZ0201,0,0,0,49.8782,14.9363
82,2020-03-02,CZ020,CZ0202,0,0,0,49.8782,14.9363
83,2020-03-02,CZ020,CZ0203,0,0,0,49.8782,14.9363
84,2020-03-02,CZ020,CZ0204,0,0,0,49.8782,14.9363
85,2020-03-02,CZ020,CZ0205,0,0,0,49.8782,14.9363
86,2020-03-02,CZ020,CZ0206,0,0,0,49.8782,14.9363
87,2020-03-02,CZ020,CZ0207,0,0,0,49.8782,14.9363
88,2020-03-02,CZ020,CZ0208,0,0,0,49.8782,14.9363
89,2020-03-02,CZ020,CZ0209,0,0,0,49.8782,14.9363
90,2020-03-02,CZ031,CZ0311,0,0,0,48.9458,14.4416
91,2020-03-02,CZ031,CZ0312,0,0,0,48.9458,14.4416
92,2020-03-02,CZ031,CZ0313,0,0,0,48.9458,14.4416
93,2020-03-02,CZ031,CZ0314,0,0,0,48.9458,14.4416
94,2020-03-02,CZ031,CZ0315,0,0,0,48.9458,14.4416
95,2020-03-02,CZ031,CZ0316,0,0,0,48.9458,14.4416
96,2020-03-02,CZ031,CZ0317,0,0,0,48.9458,14.4416
97,2020-03-02,CZ032,CZ0321,0,0,0,49.4135,13.3157
98,2020-03-02,CZ032,CZ0322,0,0,0,49.4135,13.3157
99,2020-03-02,CZ032,CZ0323,0,0,0,49.4135,13.3157
100,2020-03-02,CZ032,CZ0324,0,0,0,49.4135,13.3157
101,2020-03-02,CZ032,CZ0325,0,0,0,49.4135,13.3157
102,2020-03-02,CZ032,CZ0326,0,0,0,49.4135,13.3157
103,2020-03-02,CZ032,CZ0327,0,0,0,49.4135,13.3157
104,2020-03-02,CZ041,CZ0411,0,0,0,50.1435,12.7502
105,2020-03-02,CZ041,CZ0412,0,0,0,50.1435,12.7502
106,2020-03-02,CZ041,CZ0413,0,0,0,50.1435,12.7502
107,2020-03-02,CZ042,CZ0421,1,0,0,50.6119,13.787
108,2020-03-02,CZ042,CZ0422,0,0,0,50.6119,13.787
109,2020-03-02,CZ042,CZ0423,0,0,0,50.6119,13.787
110,2020-03-02,CZ042,CZ0424,0,0,0,50.6119,13.787
111,2020-03-02,CZ042,CZ0425,0,0,0,50.6119,13.787
112,2020-03-02,CZ042,CZ0426,0,0,0,50.6119,13.787
113,2020-03-02,CZ042,CZ0427,0,0,0,50.6119,13.787
114,2020-03-02,CZ051,CZ0511,0,0,0,50.6594,14.7632
115,2020-03-02,CZ051,CZ0512,0,0,0,50.6594,14.7632
116,2020-03-02,CZ051,CZ0513,0,0,0,50.6594,14.7632
117,2020-03-02,CZ051,CZ0514,0,0,0,50.6594,14.7632
118,2020-03-02,CZ052,CZ0521,0,0,0,50.3512,15.7976
119,2020-03-02,CZ052,CZ0522,0,0,0,50.3512,15.7976
120,2020-03-02,CZ052,CZ0523,0,0,0,50.3512,15.7976
121,2020-03-02,CZ052,CZ0524,0,0,0,50.3512,15.7976
